	Id	v2a1	hacdor	rooms	hacapo	v14a	refrig	v18q	v18q1	r4h1	r4h2	r4h3	r4m1	r4m2	r4m3	r4t1	r4t2	r4t3	tamhog	tamviv	escolari	rez_esc	hhsize	cielorazo	dis	estadocivil1	estadocivil2	estadocivil3	estadocivil4	estadocivil5	estadocivil6	estadocivil7	parentesco1	parentesco2	parentesco3	parentesco4	parentesco5	parentesco6	parentesco7	parentesco8	parentesco9	parentesco10	parentesco11	parentesco12	idhogar	hogar_nin	hogar_adul	hogar_mayor	hogar_total	dependency	edjefe	edjefa	meaneduc	instlevel1	instlevel2	instlevel3	instlevel4	instlevel5	instlevel6	instlevel7	instlevel8	instlevel9	bedrooms	overcrowding	computer	television	mobilephone	qmobilephone	age	Target	MaterialPared	MaterialPiso	MaterialTecho	AbastecimientoAgua	AbastecimientoElectricidad	TipoSanitario	EnergiaCocina	EliminacionBasura	EstadoPared	EstadoTecho	EstadoPiso	Genero	TipoVivienda	Region	Zona
10	ID_db44f5c59	130000.0	1	2	0	1	1	0		0	1	1	2	1	3	2	2	4	4	4	3	1.0	4	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	d6dae86b7	2	2	0	4	yes	9	no	10.0	0	1	0	0	0	0	0	0	0	1	4.0	0	0	1	1	11	4	paredblolad	pisomoscer	techozinc	abastaguadentro	public	sanitario2	energcocinar3	elimbasu1	epared1	etecho1	eviv2	female	tipovivi3	Central	Urbana
11	ID_de822510c	100000.0	0	3	0	1	1	0		0	0	0	0	2	2	0	2	2	2	2	12		2	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	bb2094100	1	1	0	2	yes	no	11	23.0	0	0	0	0	0	0	1	0	0	2	1.0	0	0	1	1	18	4	paredpreb	pisomoscer	techozinc	abastaguadentro	public	sanitario2	energcocinar2	elimbasu1	epared3	etecho3	eviv3	female	tipovivi2	Central	Urbana
12	ID_d94071d7c	100000.0	0	3	0	1	1	0		0	0	0	0	2	2	0	2	2	2	2	11		2	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	bb2094100	1	1	0	2	yes	no	11	23.0	0	0	0	0	1	0	0	0	0	2	1.0	0	0	1	1	34	4	paredpreb	pisomoscer	techozinc	abastaguadentro	public	sanitario2	energcocinar2	elimbasu1	epared3	etecho3	eviv3	female	tipovivi2	Central	Urbana
13	ID_064b57869		0	4	0	1	1	1	1.0	0	1	1	0	1	1	0	2	2	2	2	4		2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	c51f9c774	0	2	1	2	yes	no	4	9.5	0	1	0	0	0	0	0	0	0	2	1.0	0	0	1	1	79	4	paredpreb	pisocemento	techozinc	abastaguadentro	public	sanitario2	energcocinar2	elimbasu1	epared3	etecho3	eviv2	female	tipovivi1	Central	Urbana
14	ID_5c837d8a4		0	4	0	1	1	1	1.0	0	1	1	0	1	1	0	2	2	2	2	15		2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	c51f9c774	0	2	1	2	yes	no	4	9.5	0	0	0	0	0	0	0	1	0	2	1.0	0	0	1	1	39	4	paredpreb	pisocemento	techozinc	abastaguadentro	public	sanitario2	energcocinar2	elimbasu1	epared3	etecho3	eviv2	male	tipovivi1	Central	Urbana
15	ID_0a39e419e	90000.0	1	2	0	1	1	0		0	2	2	0	2	2	0	4	4	4	4	11		4	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6893e65ca	2	2	1	4	3	no	10	17.0	0	0	0	0	1	0	0	0	0	1	4.0	0	0	1	1	19	4	paredmad	pisomadera	techozinc	abastaguadentro	public	sanitario2	energcocinar2	elimbasu1	epared1	etecho1	eviv1	male	tipovivi3	Central	Urbana
16	ID_4ff51f90c	90000.0	1	2	0	1	1	0		0	2	2	0	2	2	0	4	4	4	4	2		4	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6893e65ca	2	2	1	4	3	no	10	17.0	0	1	0	0	0	0	0	0	0	1	4.0	0	0	1	1	70	4	paredmad	pisomadera	techozinc	abastaguadentro	public	sanitario2	energcocinar2	elimbasu1	epared1	etecho1	eviv1	male	tipovivi3	Central	Urbana
17	ID_336c51386	90000.0	1	2	0	1	1	0		0	2	2	0	2	2	0	4	4	4	4	11		4	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	6893e65ca	2	2	1	4	3	no	10	17.0	0	0	0	0	1	0	0	0	0	1	4.0	0	0	1	1	19	4	paredmad	pisomadera	techozinc	abastaguadentro	public	sanitario2	energcocinar2	elimbasu1	epared1	etecho1	eviv1	female	tipovivi3	Central	Urbana
18	ID_c51938edf	90000.0	1	2	0	1	1	0		0	2	2	0	2	2	0	4	4	4	4	10		4	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6893e65ca	2	2	1	4	3	no	10	17.0	0	0	0	1	0	0	0	0	0	1	4.0	0	0	1	1	50	4	paredmad	pisomadera	techozinc	abastaguadentro	public	sanitario2	energcocinar2	elimbasu1	epared1	etecho1	eviv1	female	tipovivi3	Central	Urbana
19	ID_35b66f7c6	215000.0	0	4	0	1	1	0		0	1	1	0	1	1	0	2	2	2	2	12		2	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	d29058053	0	2	0	2	no	15	no	13.5	0	0	0	0	0	0	1	0	0	2	1.0	0	0	1	2	22	4	paredblolad	pisomoscer	techozinc	abastaguadentro	public	sanitario2	energcocinar3	elimbasu1	epared3	etecho3	eviv3	female	tipovivi3	Central	Urbana
20	ID_74a2bc523	215000.0	0	4	0	1	1	0		0	1	1	0	1	1	0	2	2	2	2	15		2	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	d29058053	0	2	0	2	no	15	no	13.5	0	0	0	0	0	0	0	1	0	2	1.0	0	0	1	2	26	4	paredblolad	pisomoscer	techozinc	abastaguadentro	public	sanitario2	energcocinar3	elimbasu1	epared3	etecho3	eviv3	male	tipovivi3	Central	Urbana
21	ID_15d393ce7	150000.0	0	3	0	1	1	0		0	1	1	0	1	1	0	2	2	2	2	4		2	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	ec0e8edce	0	2	2	2	8	4	no	10.0	0	1	0	0	0	0	0	0	0	1	2.0	0	0	1	1	69	4	paredmad	pisomadera	techozinc	abastaguadentro	public	sanitario2	energcocinar2	elimbasu1	epared1	etecho1	eviv1	male	tipovivi3	Central	Urbana
22	ID_a0bff0ba7	150000.0	0	3	0	1	1	0		0	1	1	0	1	1	0	2	2	2	2	16		2	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	ec0e8edce	0	2	2	2	8	4	no	10.0	0	0	0	0	0	0	0	1	0	1	2.0	0	0	1	1	66	4	paredmad	pisomadera	techozinc	abastaguadentro	public	sanitario2	energcocinar2	elimbasu1	epared1	etecho1	eviv1	female	tipovivi3	Central	Urbana
23	ID_848b0fdf1	100000.0	1	1	1	0	1	0		0	2	2	0	1	1	0	3	3	3	3	6		3	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3e16fab89	0	3	0	3	no	6	no	10.333333	0	0	1	0	0	0	0	0	0	1	3.0	0	0	1	3	41	4	paredblolad	pisomoscer	techozinc	abastaguafuera	public	sanitario1	energcocinar2	elimbasu1	epared3	etecho3	eviv3	male	tipovivi3	Central	Urbana
24	ID_298d857e5	100000.0	1	1	1	0	1	0		0	2	2	0	1	1	0	3	3	3	3	13		3	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3e16fab89	0	3	0	3	no	6	no	10.333333	0	0	0	0	0	0	0	1	0	1	3.0	0	0	1	3	20	4	paredblolad	pisomoscer	techozinc	abastaguafuera	public	sanitario1	energcocinar2	elimbasu1	epared3	etecho3	eviv3	male	tipovivi3	Central	Urbana
25	ID_1d5bf8ddf	100000.0	1	1	1	0	1	0		0	2	2	0	1	1	0	3	3	3	3	12		3	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3e16fab89	0	3	0	3	no	6	no	10.333333	0	0	0	0	0	0	1	0	0	1	3.0	0	0	1	3	40	4	paredblolad	pisomoscer	techozinc	abastaguafuera	public	sanitario1	energcocinar2	elimbasu1	epared3	etecho3	eviv3	female	tipovivi3	Central	Urbana
26	ID_e5cdba865		0	5	0	1	1	0		0	1	1	0	0	0	0	1	1	1	1	15		1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1e84a2ac8	0	1	0	1	no	15	no	15.0	0	0	0	0	0	0	0	1	0	2	0.5	0	0	1	2	44	4	paredmad	pisomadera	techozinc	abastaguadentro	public	sanitario2	energcocinar2	elimbasu1	epared2	etecho2	eviv2	male	tipovivi1	Central	Urbana
27	ID_e18530139	120000.0	0	4	0	1	1	1	1.0	0	2	2	0	1	1	0	3	3	3	3	6		3	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	759df0194	0	3	1	3	.5	6	no	6.666666499999999	0	0	1	0	0	0	0	0	0	2	1.5	0	1	1	3	69	4	paredblolad	pisomoscer	techozinc	abastaguadentro	public	sanitario2	energcocinar3	elimbasu1	epared3	etecho3	eviv3	male	tipovivi3	Central	Urbana
28	ID_cba035c44	120000.0	0	4	0	1	1	1	1.0	0	2	2	0	1	1	0	3	3	3	3	6		3	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	759df0194	0	3	1	3	.5	6	no	6.666666499999999	0	0	1	0	0	0	0	0	0	2	1.5	0	1	1	3	62	4	paredblolad	pisomoscer	techozinc	abastaguadentro	public	sanitario2	energcocinar3	elimbasu1	epared3	etecho3	eviv3	female	tipovivi3	Central	Urbana
29	ID_b6c1c7e65	120000.0	0	4	0	1	1	1	1.0	0	2	2	0	1	1	0	3	3	3	3	8		3	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	759df0194	0	3	1	3	.5	6	no	6.666666499999999	0	0	0	1	0	0	0	0	0	2	1.5	0	1	1	3	33	4	paredblolad	pisomoscer	techozinc	abastaguadentro	public	sanitario2	energcocinar3	elimbasu1	epared3	etecho3	eviv3	male	tipovivi3	Central	Urbana
30	ID_96b1fbc81	100000.0	0	5	0	1	1	0		0	1	1	0	1	1	0	2	2	2	2	8		2	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	f2fcf00fd	0	2	0	2	no	8	no	9.5	0	0	0	1	0	0	0	0	0	2	1.0	0	0	1	2	35	4	paredblolad	pisomoscer	techozinc	abastaguadentro	public	sanitario2	energcocinar2	elimbasu1	epared2	etecho2	eviv3	male	tipovivi3	Central	Urbana
31	ID_422226730	100000.0	0	5	0	1	1	0		0	1	1	0	1	1	0	2	2	2	2	11		2	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	f2fcf00fd	0	2	0	2	no	8	no	9.5	0	0	0	0	1	0	0	0	0	2	1.0	0	0	1	2	28	4	paredblolad	pisomoscer	techozinc	abastaguadentro	public	sanitario2	energcocinar2	elimbasu1	epared2	etecho2	eviv3	female	tipovivi3	Central	Urbana
32	ID_e24d9c3c9		0	5	0	1	1	0		0	4	4	0	1	1	0	5	5	5	5	1		5	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	cb6bb28dd	1	4	0	5	.25	11	no	5.25	0	1	0	0	0	0	0	0	0	3	1.6666666	0	0	1	3	28	4	paredzocalo	pisomoscer	techozinc	abastaguadentro	public	sanitario2	energcocinar2	elimbasu1	epared2	etecho2	eviv3	male	tipovivi1	Central	Urbana
33	ID_be1c0c929		0	5	0	1	1	0		0	4	4	0	1	1	0	5	5	5	5	11		5	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	cb6bb28dd	1	4	0	5	.25	11	no	5.25	0	0	0	0	1	0	0	0	0	3	1.6666666	0	0	1	3	56	4	paredzocalo	pisomoscer	techozinc	abastaguadentro	public	sanitario2	energcocinar2	elimbasu1	epared2	etecho2	eviv3	male	tipovivi1	Central	Urbana
34	ID_18ffaadc6		0	5	0	1	1	0		0	4	4	0	1	1	0	5	5	5	5	6		5	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	cb6bb28dd	1	4	0	5	.25	11	no	5.25	0	0	1	0	0	0	0	0	0	3	1.6666666	0	0	1	3	30	4	paredzocalo	pisomoscer	techozinc	abastaguadentro	public	sanitario2	energcocinar2	elimbasu1	epared2	etecho2	eviv3	male	tipovivi1	Central	Urbana
35	ID_beb36ce09		0	5	0	1	1	0		0	4	4	0	1	1	0	5	5	5	5	0		5	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	cb6bb28dd	1	4	0	5	.25	11	no	5.25	1	0	0	0	0	0	0	0	0	3	1.6666666	0	0	1	3	19	4	paredzocalo	pisomoscer	techozinc	abastaguadentro	public	sanitario2	energcocinar2	elimbasu1	epared2	etecho2	eviv3	male	tipovivi1	Central	Urbana
36	ID_57b05a403		0	5	0	1	1	0		0	4	4	0	1	1	0	5	5	5	5	3		5	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	cb6bb28dd	1	4	0	5	.25	11	no	5.25	0	1	0	0	0	0	0	0	0	3	1.6666666	0	0	1	3	52	4	paredzocalo	pisomoscer	techozinc	abastaguadentro	public	sanitario2	energcocinar2	elimbasu1	epared2	etecho2	eviv3	female	tipovivi1	Central	Urbana
37	ID_01f1e94b3	80000.0	0	4	0	1	1	0		0	2	2	0	1	1	0	3	3	3	3	6		3	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	cbf24a06c	1	2	0	3	.5	8	no	7.0	0	0	1	0	0	0	0	0	0	2	1.5	0	0	1	2	36	4	paredmad	pisomadera	techozinc	abastaguadentro	public	sanitario3	energcocinar3	elimbasu1	epared1	etecho2	eviv1	female	tipovivi3	Central	Urbana
38	ID_0f01e18e9	80000.0	0	4	0	1	1	0		0	2	2	0	1	1	0	3	3	3	3	8	0.0	3	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	cbf24a06c	1	2	0	3	.5	8	no	7.0	0	0	0	1	0	0	0	0	0	2	1.5	0	0	1	2	15	4	paredmad	pisomadera	techozinc	abastaguadentro	public	sanitario3	energcocinar3	elimbasu1	epared1	etecho2	eviv1	male	tipovivi3	Central	Urbana
39	ID_e73a7a162	80000.0	0	4	0	1	1	0		0	2	2	0	1	1	0	3	3	3	3	8		3	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	cbf24a06c	1	2	0	3	.5	8	no	7.0	0	0	0	1	0	0	0	0	0	2	1.5	0	0	1	2	37	4	paredmad	pisomadera	techozinc	abastaguadentro	public	sanitario3	energcocinar3	elimbasu1	epared1	etecho2	eviv1	male	tipovivi3	Central	Urbana
40	ID_488b8ac27	90000.0	0	5	0	1	1	1	1.0	0	1	1	0	1	1	0	2	2	2	2	9		2	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	922a1f87a	0	2	0	2	no	no	9	11.0	0	0	0	1	0	0	0	0	0	2	1.0	0	0	1	2	44	4	paredmad	pisomadera	techozinc	abastaguadentro	public	sanitario2	energcocinar3	elimbasu1	epared2	etecho3	eviv3	female	tipovivi3	Central	Urbana
41	ID_1f68e9b45	90000.0	0	5	0	1	1	1	1.0	0	1	1	0	1	1	0	2	2	2	2	13		2	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	922a1f87a	0	2	0	2	no	no	9	11.0	0	0	0	0	0	0	0	1	0	2	1.0	0	0	1	2	24	4	paredmad	pisomadera	techozinc	abastaguadentro	public	sanitario2	energcocinar3	elimbasu1	epared2	etecho3	eviv3	male	tipovivi3	Central	Urbana
42	ID_e3869ade2		0	8	0	1	1	1	1.0	0	2	2	0	1	1	0	3	3	3	3	8	0.0	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	a57a1f2f4	1	2	1	3	2	no	15	15.5	0	0	0	1	0	0	0	0	0	3	1.0	1	0	1	3	15	4	paredblolad	pisomadera	techoentrepiso	abastaguadentro	public	sanitario2	energcocinar3	elimbasu1	epared3	etecho3	eviv3	male	tipovivi1	Central	Urbana
43	ID_451a7e35a		0	8	0	1	1	1	1.0	0	2	2	0	1	1	0	3	3	3	3	15		3	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	a57a1f2f4	1	2	1	3	2	no	15	15.5	0	0	0	0	0	0	0	1	0	3	1.0	1	0	1	3	76	4	paredblolad	pisomadera	techoentrepiso	abastaguadentro	public	sanitario2	energcocinar3	elimbasu1	epared3	etecho3	eviv3	female	tipovivi1	Central	Urbana
44	ID_cf3c3d7ec		0	8	0	1	1	1	1.0	0	2	2	0	1	1	0	3	3	3	3	16		3	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	a57a1f2f4	1	2	1	3	2	no	15	15.5	0	0	0	0	0	0	0	1	0	3	1.0	1	0	1	3	44	4	paredblolad	pisomadera	techoentrepiso	abastaguadentro	public	sanitario2	energcocinar3	elimbasu1	epared3	etecho3	eviv3	male	tipovivi1	Central	Urbana
45	ID_feda408ee		0	4	0	1	1	0		0	1	1	0	1	1	0	2	2	2	2	17		2	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	9b084b23d	0	2	2	2	8	17	no	10.0	0	0	0	0	0	0	0	1	0	2	1.0	0	0	1	1	69	4	paredmad	pisomadera	techozinc	abastaguadentro	public	sanitario2	energcocinar2	elimbasu1	epared2	etecho2	eviv2	male	tipovivi1	Central	Urbana
46	ID_4dd2eaeba		0	4	0	1	1	0		0	1	1	0	1	1	0	2	2	2	2	3		2	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	9b084b23d	0	2	2	2	8	17	no	10.0	0	1	0	0	0	0	0	0	0	2	1.0	0	0	1	1	94	4	paredmad	pisomadera	techozinc	abastaguadentro	public	sanitario2	energcocinar2	elimbasu1	epared2	etecho2	eviv2	female	tipovivi1	Central	Urbana
47	ID_34d68201f		0	5	0	1	1	1	1.0	0	1	1	1	1	2	1	2	3	3	3	16		3	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6ddd55b3e	1	2	0	3	.5	11	no	13.5	0	0	0	0	0	0	0	1	0	2	1.5	0	0	1	2	45	4	paredfibras	pisomoscer	techozinc	abastaguadentro	public	sanitario2	energcocinar2	elimbasu1	epared2	etecho2	eviv3	female	tipovivi1	Central	Urbana
48	ID_839160e1d		0	5	0	1	1	1	1.0	0	1	1	1	1	2	1	2	3	3	3	2	0.0	3	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6ddd55b3e	1	2	0	3	.5	11	no	13.5	0	1	0	0	0	0	0	0	0	2	1.5	0	0	1	2	8	4	paredfibras	pisomoscer	techozinc	abastaguadentro	public	sanitario2	energcocinar2	elimbasu1	epared2	etecho2	eviv3	female	tipovivi1	Central	Urbana
49	ID_340865cda		0	5	0	1	1	1	1.0	0	1	1	1	1	2	1	2	3	3	3	11		3	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6ddd55b3e	1	2	0	3	.5	11	no	13.5	0	0	0	0	1	0	0	0	0	2	1.5	0	0	1	2	48	4	paredfibras	pisomoscer	techozinc	abastaguadentro	public	sanitario2	energcocinar2	elimbasu1	epared2	etecho2	eviv3	male	tipovivi1	Central	Urbana
50	ID_eb1d477b3	120000.0	0	5	0	1	1	0		0	1	1	1	2	3	1	3	4	4	4	2	0.0	4	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	652a7ffa0	2	2	0	4	yes	11	no	11.0	0	1	0	0	0	0	0	0	0	2	2.0	0	0	1	2	8	2	paredpreb	pisocemento	techozinc	abastaguadentro	public	sanitario2	energcocinar3	elimbasu1	epared2	etecho3	eviv2	female	tipovivi3	Central	Urbana
51	ID_1edc6734e	120000.0	0	5	0	1	1	0		0	1	1	1	2	3	1	3	4	4	4	11		4	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	652a7ffa0	2	2	0	4	yes	11	no	11.0	0	0	0	0	1	0	0	0	0	2	2.0	0	0	1	2	44	2	paredpreb	pisocemento	techozinc	abastaguadentro	public	sanitario2	energcocinar3	elimbasu1	epared2	etecho3	eviv2	female	tipovivi3	Central	Urbana
52	ID_68cdfd374	120000.0	0	5	0	1	1	0		0	1	1	1	2	3	1	3	4	4	4	8	0.0	4	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	652a7ffa0	2	2	0	4	yes	11	no	11.0	0	0	0	1	0	0	0	0	0	2	2.0	0	0	1	2	14	2	paredpreb	pisocemento	techozinc	abastaguadentro	public	sanitario2	energcocinar3	elimbasu1	epared2	etecho3	eviv2	female	tipovivi3	Central	Urbana
53	ID_be0fdb30f	120000.0	0	5	0	1	1	0		0	1	1	1	2	3	1	3	4	4	4	11		4	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	652a7ffa0	2	2	0	4	yes	11	no	11.0	0	0	0	0	1	0	0	0	0	2	2.0	0	0	1	2	42	2	paredpreb	pisocemento	techozinc	abastaguadentro	public	sanitario2	energcocinar3	elimbasu1	epared2	etecho3	eviv2	male	tipovivi3	Central	Urbana
